date,gold_pct,sp500_pct,bonds2tr_pct,gdpworld,gdp,usdx,recession,bonds10tr,iyc,ppi,cpi,unrate,debt,fedrate,m0,m3,cbasstogdp,resins,sp500div,cape,stocktogdp,oil,indpro,houses,cp
1970-01-31,-0.5649717514124131,-7.647186617423429,0.5332407407407408,2997270.4955001003,1051200.0,117.4566675,1.0,0.0775,0.004557407407407408,36.5,37.9,0.039,372007.0,0.0898,76400.0,589600.0,5.696619999999999,28900.0,0.035,17.09,0.7898306697108067,3.35,37.9372,23900.0,55323.0
1970-02-28,0.0,5.269348388614459,0.5332407407407408,2997270.4955001003,1051200.0,117.4566675,1.0,0.069,0.004642407407407408,36.7,38.1,0.042,372007.0,0.0898,75200.0,586300.0,5.696619999999999,27900.0,0.0363,16.37,0.7898306697108067,3.35,37.9122,23900.0,55323.0
1970-03-31,0.5681818181818121,0.14525139664804954,0.5332407407407408,2997270.4955001003,1051200.0,117.4566675,1.0,0.0708,0.004624407407407408,36.7,38.3,0.044000000000000004,372007.0,0.0776,75300.0,587300.0,5.696619999999999,27500.0,0.0358,16.53,0.7898306697108067,3.35,37.863,23900.0,55323.0
1970-04-30,1.9774011299435124,-9.048309717728442,0.5332407407407408,2997270.4955001003,1067375.0,117.4566675,1.0,0.0782,0.004550407407407408,36.8,38.5,0.046,370094.0,0.081,76300.0,588400.0,5.696619999999999,28100.0,0.0369,15.87,0.7778615762969903,3.35,37.7656,24400.0,55194.0
1970-05-31,-0.8310249307479367,-6.096663395485768,0.5332407407407408,2997270.4955001003,1067375.0,117.4566675,1.0,0.0795,0.0045374074074074075,36.8,38.6,0.048,370094.0,0.0795,76600.0,591500.0,5.696619999999999,27900.0,0.0418,13.98,0.7778615762969903,3.35,37.7216,24400.0,55194.0
1970-06-30,-0.27932960893852776,-5.003265839320703,0.5332407407407408,2997270.4955001003,1067375.0,117.4566675,1.0,0.0768,0.0045644074074074085,36.9,38.8,0.049,370094.0,0.0761,76900.0,595200.0,5.696619999999999,27600.0,0.0421,13.8,0.7778615762969903,3.35,37.5996,24400.0,55194.0
1970-07-31,-0.5602240896358635,7.32948294829483,0.5332407407407408,2997270.4955001003,1086059.0,117.4566675,1.0,0.0738,0.004594407407407408,37.1,38.9,0.05,378678.0,0.0721,78000.0,599100.0,5.696619999999999,28100.0,0.042,13.73,0.7644796461334052,3.31,37.6919,23000.0,56132.0
1970-08-31,1.6901408450704203,4.445868033311973,0.5332407407407408,2997270.4955001003,1086059.0,117.4566675,1.0,0.07490000000000001,0.004583407407407408,36.9,39.0,0.051,378678.0,0.0662,78200.0,604900.0,5.696619999999999,28400.0,0.0409,14.1,0.7644796461334052,3.31,37.6247,23000.0,56132.0
1970-09-30,1.3850415512465464,3.410206084396461,0.5332407407407408,2997270.4955001003,1086059.0,117.4566675,1.0,0.0729,0.004603407407407408,37.1,39.2,0.054000000000000006,378678.0,0.0629,78700.0,611200.0,5.696619999999999,28800.0,0.0386,14.84,0.7644796461334052,3.31,37.3654,23000.0,56132.0
1970-10-31,2.4590163934426146,-1.245551601423489,0.5332407407407408,2997270.4955001003,1088608.0,117.4566675,1.0,0.0733,0.004599407407407408,37.1,39.4,0.055,389158.0,0.062,78700.0,616400.0,5.696619999999999,28600.0,0.0376,15.06,0.7626895999294512,3.31,36.6179,22600.0,53350.0
1970-11-30,0.8000000000000007,4.7447447447447555,0.5332407407407408,2997270.4955001003,1088608.0,117.4566675,1.0,0.0649,0.004683407407407408,37.1,39.6,0.059000000000000004,389158.0,0.055999999999999994,79500.0,621100.0,5.696619999999999,28700.0,0.0375,14.95,0.7626895999294512,3.31,36.3961,22600.0,53350.0
1970-12-31,-0.5291005291005124,5.676605504587151,0.5332407407407408,2997270.4955001003,1088608.0,117.4566675,1.0,0.065,0.004682407407407408,37.1,39.8,0.061,389158.0,0.049,81000.0,626500.0,5.696619999999999,29200.0,0.0349,15.87,0.7626895999294512,3.56,37.232,22600.0,53350.0
1971-01-31,2.127659574468077,4.047748236570792,0.5332407407407408,3310475.4919266403,1135156.0,120.239998,0.0,0.060899999999999996,0.004723407407407408,37.3,39.9,0.059000000000000004,391668.0,0.0414,81200.0,632900.0,5.920591,30400.0,0.0335,16.46,0.779954473217778,3.56,37.5184,24300.0,60152.0
1971-02-28,1.822916666666674,0.9073842302878665,0.5332407407407408,3310475.4919266403,1135156.0,120.260002,0.0,0.061399999999999996,0.004718407407407408,37.7,39.9,0.059000000000000004,391668.0,0.037200000000000004,80600.0,641000.0,5.920591,29900.0,0.0321,17.03,0.813218623695774,3.56,37.4469,24300.0,60152.0
1971-03-31,0.0,3.679586563307491,0.5332407407407408,3310475.4919266403,1135156.0,120.169998,0.0,0.0553,0.0047794074074074076,37.8,40.0,0.06,391668.0,0.0371,80800.0,649900.0,5.920591,29700.0,0.0312,17.4,0.813218623695774,3.56,37.4063,24300.0,60152.0
1971-04-30,2.0460358056265893,3.628750872295883,0.5332407407407408,3310475.4919266403,1156271.0,120.190002,0.0,0.0608,0.004724407407407408,37.9,40.1,0.059000000000000004,397305.0,0.0416,81600.0,658400.0,5.920591,29900.0,0.0302,17.92,0.8261471575435171,3.56,37.6164,25800.0,62420.0
1971-05-31,3.007518796992481,-4.155844155844168,0.5332407407407408,3310475.4919266403,1156271.0,119.43,0.0,0.0638,0.004694407407407408,38.1,40.3,0.059000000000000004,397305.0,0.0463,82400.0,666700.0,5.920591,30300.0,0.0305,17.56,0.797313086637994,3.56,37.8073,25800.0,62420.0
1971-06-30,-1.7031630170316392,-0.9334537789822295,0.5332407407407408,3310475.4919266403,1156271.0,119.160004,0.0,0.067,0.004662407407407408,38.2,40.5,0.059000000000000004,397305.0,0.049100000000000005,82900.0,673000.0,5.920591,30100.0,0.0311,17.08,0.797313086637994,3.56,37.9658,25800.0,62420.0
1971-07-31,5.693069306930698,-3.1610942249240215,0.5332407407407408,3310475.4919266403,1177675.0,118.760002,0.0,0.06849999999999999,0.004647407407407408,38.3,40.6,0.06,412268.0,0.053099999999999994,84200.0,679600.0,5.920591,30600.0,0.0313,16.89,0.7805124503789246,3.56,37.8556,25300.0,66544.0
1971-08-31,-3.9812646370023463,3.60954174513497,0.5332407407407408,3310475.4919266403,1177675.0,116.470001,0.0,0.06280000000000001,0.004704407407407408,38.5,40.7,0.061,412268.0,0.0557,84100.0,685500.0,5.920591,30500.0,0.0318,16.52,0.7805124503789246,3.56,37.6359,25300.0,66544.0
1971-09-30,4.634146341463419,-0.6967585580127222,0.5332407407407408,3310475.4919266403,1177675.0,114.93,0.0,0.06,0.004732407407407408,38.3,40.8,0.06,412268.0,0.0555,84400.0,692500.0,5.920591,30800.0,0.0311,16.86,0.776292270787781,3.56,38.2476,25300.0,66544.0
1971-10-31,-0.6993006993006978,-4.179377669310558,0.5332407407407408,3310475.4919266403,1190297.0,114.650002,0.0,0.0587,0.004745407407407408,38.3,40.9,0.057999999999999996,424131.0,0.052000000000000005,84700.0,698400.0,5.920591,30800.0,0.0317,16.43,0.7318761619999042,3.56,38.5339,25500.0,68735.0
1971-11-30,3.0516431924882514,-0.2546959567017004,0.5332407407407408,3310475.4919266403,1190297.0,114.010002,0.0,0.0593,0.0047394074074074075,38.3,41.0,0.06,424131.0,0.049100000000000005,85500.0,704600.0,5.920591,30900.0,0.0332,15.64,0.7318761619999042,3.56,38.6974,25500.0,68735.0
1971-12-31,-0.2277904328018221,8.617938078519005,0.5332407407407408,3310475.4919266403,1190297.0,111.209999,0.0,0.058899999999999994,0.004743407407407408,38.6,41.1,0.06,424131.0,0.0414,86800.0,710300.0,5.920591,31300.0,0.031,16.6,0.7974984394651082,3.56,39.1441,25500.0,68735.0
