date,fedrate_pct,gdp,gdp_pct,m0,m1,m2,debt,gold_pct,gold,sp500_pct,sp500_div_pct,house,house_pct,house_rent_pct,bond2tr_pct,bond10tr_pct,inflation_pct,oil,oil_pct,wages,wages_pct,unrate,gold_adj_pct,sp500_adj_pct,sp500_div_adj_pct,bond10tr_adj_pct,house_adj_pct,house_rent_adj_pct,wages_adj_pct,bond10tr2tr,house_per_wage,gold_per_wage,debt_to_gdp,m0_to_gdp,m1_to_gdp,m2_to_gdp,m1_minus_m0,m2_minus_m1
1970-12-31,4.9,1088.61,4.86,81.0,214.4,,389.16,6.21,37.6,0.1,2.9,22600.0,-9.24,-5.24,,6.5,5.57,3.56,6.27,,,6.1,0.61,-5.18,-2.53,0.88,-14.03,-10.24,,,,,0.36,0.07,0.2,,133.4,
1971-12-31,4.14,1190.3,9.34,86.8,228.3,,424.13,16.49,43.8,10.79,13.59,25500.0,12.83,16.83,,5.89,3.27,3.56,0.0,,,6.0,12.8,7.28,9.99,2.54,9.26,13.14,,,,,0.36,0.07,0.19,,141.5,
1972-12-31,5.33,1328.9,11.64,91.4,249.2,,448.47,48.86,65.2,15.63,18.43,29200.0,14.51,18.51,,6.41,3.41,3.56,0.0,,,5.2,43.95,11.82,14.53,2.9,10.74,14.61,,,,,0.34,0.07,0.19,,157.8,
1973-12-31,9.95,1476.29,11.09,100.1,262.9,,469.07,75.61,114.5,-17.37,-14.57,34000.0,16.44,20.44,,6.9,8.94,4.31,21.07,,,4.9,61.2,-24.15,-21.58,-1.87,6.88,10.55,,,,,0.32,0.07,0.18,,162.8,
1974-12-31,8.53,1599.68,8.36,108.6,274.2,,492.66,62.18,185.7,-29.72,-26.92,37200.0,9.41,13.41,,7.4,12.1,11.16,158.93,,,7.2,44.68,-37.3,-34.8,-4.19,-2.39,1.17,,,,,0.31,0.07,0.17,,165.6,
1975-12-31,5.2,1761.83,10.14,113.1,287.1,,576.65,-19.87,148.8,31.55,34.35,41200.0,10.75,14.75,,7.76,7.13,11.16,0.0,,,8.2,-25.2,22.79,25.41,0.59,3.38,7.12,,,,,0.33,0.06,0.16,,174.0,
1976-12-31,4.65,1934.27,9.79,120.3,306.2,,653.54,-7.46,137.7,19.15,21.95,45500.0,10.44,14.44,5.34,6.81,5.04,13.9,24.55,,,7.8,-11.9,13.44,16.1,1.69,5.14,8.95,,1.47,,,0.34,0.06,0.16,,185.9,
1977-12-31,6.56,2164.27,11.89,129.9,330.9,,718.94,21.64,167.5,-11.5,-8.7,51600.0,13.41,17.41,7.22,7.78,6.68,14.85,6.83,,,6.4,14.03,-17.04,-14.42,1.03,6.31,10.06,,0.56,,,0.33,0.06,0.15,,201.0,
1978-12-31,10.03,2476.95,14.45,144.7,357.3,,789.21,36.72,229.0,1.06,3.86,59000.0,14.34,18.34,9.98,9.15,8.99,14.85,0.0,,,6.0,25.44,-7.27,-4.7,0.15,4.91,8.58,,-0.83,,,0.32,0.06,0.14,,212.6,
1979-12-31,13.78,2723.88,9.97,156.7,381.8,,845.12,136.24,541.0,12.31,15.11,62600.0,6.1,10.1,11.23,10.33,13.25,32.5,118.86,248.0,,6.0,108.6,-0.84,1.64,-2.58,-6.32,-2.78,,-0.9,252.42,2.18,0.31,0.06,0.14,,225.1,
